productName,universalProductCode,product_code
Charley’s Crab eGift,07675017425,MAXK916ZQK
Charley’s Crab Gift Card,07675017426,GQC5KNBT6T
Rusty Pelican eGift,07675017429,HFDPUM9UEO
Rusty Pelican Gift Card,07675017430,VHU3SEHWIL
Aeropostale eGift FRC,07675017463,THZJKOSRGZ
AMC Popcorn eGift FRC,07675017464,9RLLBBEH56
Freakin' Unbelievable Burgers Gift Card,07675017568,D2D4OBUHQ7
Harvey's Grill and Bar & Hayden's Grill and Bar Gift Card,07675017572,IUNYQF04H8
The Well Bar Grill & Rooftop eGift,07675017577,HIL52SQ9UB
The Well Bar Grill & Rooftop Gift Card,07675017579,QWZCRN7IZA
Big Fish eGift,07675017593,GV0KWE5MUM
Big Fish Gift Card,07675017594,OY9CYNFJ5A
Peppino's eGift,07675017603,Y8LCIEMJ5G
MistoBox eGift,07675017707,40ROEDSHP5
MistoBox Gift Card,07675017708,EQKK1OKESS
Eddie Bauer eGift,07675017864,V4AMJ1TWCS
Water Street Coffee Joint eGift,07675018151,OAXZGKZZEL
Spartan Hall of Fame Café Gift Card,07675018158,OWLKJ2SBCO
Spartan Hall of Fame Café eGift,07675018162,X31XNOVW58
Al's Beef eGift,07675018170,A6I5XAX9J5
Jose Pepper's Marketplace eGift,07675018316,7R9XJNI4Z3
Spoonlickers eGift,07675018342,6S6WV9AGOZ
Buz and Ned's Real Barbecue eGift,07675018349,6BYRDJDURM
Mexico Restaurant eGift,07675018361,JS19BVCOGA
Taco Shop of Wichita eGift,07675018367,SR2QRK3P3O
Submarine House eGift,07675018404,1V7HP4RW0K
Merridee's Breadbasket eGift,07675018414,JZXXUGSTKS
Puckett's Grocery eGift,07675018453,XYPW7WDX4R
Bagger Dave's eGift,07675018522,U2O6ZCGIJ6
Fricker's eGift,07675018531,7PCYLCOCTD
Air Force Museum Gift Shop eGift,07675018611,AYIWO0599J
Food Dance eGift,07675018737,ZYGSN4GP1S
Yankee Candle eGift,07675018745,K7BNBOWVXS
Famous Footwear eGift,07675018767,MQYFO2FFSU
Shane's Rib Shack eGift,07675018892,CAS2X2WNQV
Fandango eGift,07675018921,3ABYK2NM0B
Olga's Kitchen eGift,07675018990,H0CX5U0314
Goodcents Deli Fresh Subs Original Gift Card,07675018992,OZQQXC5GAU
Goodcents Deli Fresh Subs Original eGift,07675019163,6EQMNCK6RJ
Wicked Good Cupcakes Gift Card,07675019245,1Q9PVQ9YYY
Wicked Good Cupcakes eGift,07675019246,EN8J9FRK96
Athleta eGift,07675019423,15K32L1BMI
The Gilmore Collection eGift,07675019480,2JX1U950FF
Ulta Beauty Gift Card,07675019523,5D9RWLQ4FH
W. W. Cousins eGift,07675019529,7F18IPZ178
Macayo's Mexican Food eGift,07675019532,ND8SZFZK92
Chuck E. Cheese eGift,07675019540,KQB6YELCFE
Hot Topic eGift,07675019574,9JZPN7YPS4
Captain D's eGift,07675019592,Q1SEYV9G4B
Blue Line Pizza eGift,07675019609,FWLT9DEUM5
Humdingers eGift,07675019611,S3BKXYQSSV
Knolla's Pizza eGift,07675019616,7ZS3GU5RVM
Nintendo $10 eGift,07675019617,S943IT1XLF
Nintendo $20 eGift,07675019618,E3B54LEIOS
Nintendo $35 eGift,07675019619,I5ZV5XYDA6
